Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
15/01/2024,AWS SERVICES,UPI/123456,15/01/2024,3500.00,,450000.00
16/01/2024,SALARY CREDIT - ACME CORP,NEFT/789012,16/01/2024,,50000.00,500000.00
17/01/2024,RAZORPAY PAYMENT GATEWAY,UPI/234567,17/01/2024,2500.00,,497500.00
18/01/2024,GOOGLE ADS MARKETING,UPI/345678,18/01/2024,15000.00,,482500.00
19/01/2024,SWIGGY TEAM LUNCH,UPI/456789,19/01/2024,850.00,,481650.00
20/01/2024,OFFICE SUPPLIES - AMAZON,UPI/567890,20/01/2024,1200.00,,480450.00
22/01/2024,DOMAIN RENEWAL - GODADDY,CC/678901,22/01/2024,999.00,,479451.00
23/01/2024,STRIPE PAYOUT,NEFT/789123,23/01/2024,,25000.00,504451.00
24/01/2024,CA FEES - TAX FILING,UPI/890234,24/01/2024,5000.00,,499451.00
25/01/2024,UBER FOR BUSINESS,UPI/901345,25/01/2024,450.00,,499001.00
