Txn Date,Description,Ref No./Cheque No.,Value Date,Debit,Credit,Balance
15-Jan-2024,PAYMENT TO AWS SERVICES,,15-Jan-2024,3500.00,,450000.00
16-Jan-2024,SALARY FROM ACME CORP,,16-Jan-2024,,50000.00,500000.00
17-Jan-2024,RAZORPAY GATEWAY FEE,,17-Jan-2024,2500.00,,497500.00
18-Jan-2024,GOOGLE ADS CAMPAIGN,,18-Jan-2024,15000.00,,482500.00
19-Jan-2024,SWIGGY FOOD ORDER,,19-Jan-2024,850.00,,481650.00
20-Jan-2024,AMAZON OFFICE SUPPLIES,,20-Jan-2024,1200.00,,480450.00
22-Jan-2024,GODADDY HOSTING,,22-Jan-2024,999.00,,479451.00
23-Jan-2024,STRIPE PAYOUT,,23-Jan-2024,,25000.00,504451.00
24-Jan-2024,CA TAX FILING FEES,,24-Jan-2024,5000.00,,499451.00
25-Jan-2024,UBER BUSINESS TRAVEL,,25-Jan-2024,450.00,,499001.00
